Сложность доступных в текущее время задач acmp.ru
Номер задачи;Сложность задачи
1;2
2;19
3;8
4;4
5;15
6;23
7;30
8;5
9;27
10;17
11;55
12;45
13;20
14;19
15;18
16;45
17;31
18;42
19;29
20;38
21;4
22;16
23;13
24;46
25;3
26;17
27;26
28;19
29;38
30;30
31;47
32;35
33;4
34;36
35;11
36;30
37;34
38;45
39;32
40;30
41;29
42;40
43;16
44;20
45;42
46;20
47;26
48;23
49;35
50;29
51;21
52;12
53;22
54;28
55;31
56;29
57;28
58;28
59;25
60;39
61;5
62;15
63;18
64;27
65;27
66;11
67;33
68;21
69;28
70;30
71;43
72;45
73;28
74;38
75;48
76;50
77;63
78;48
79;21
80;37
81;14
82;34
83;66
84;27
85;23
86;15
87;42
88;27
89;30
90;37
91;29
92;7
93;26
94;22
95;24
96;41
97;50
98;23
99;55
100;68
101;60
102;32
103;35
104;65
105;76
106;8
107;52
108;1
109;43
110;78
111;48
112;58
113;46
114;37
115;42
116;60
117;57
118;29
119;23
120;32
121;34
122;38
123;54
124;25
125;26
126;28
127;40
128;41
129;51
130;55
131;15
132;47
133;49
134;50
135;36
136;39
137;65
138;38
139;63
140;46
141;42
142;53
143;44
144;37
145;40
146;67
147;16
148;15
149;9
150;41
151;44
152;46
153;51
154;52
155;59
156;46
157;38
158;60
159;25
160;46
161;44
162;56
163;20
164;26
165;32
166;31
167;51
168;23
169;34
170;35
171;50
172;39
173;29
174;32
175;37
176;69
177;58
178;35
179;47
180;46
181;42
182;27
183;39
184;35
185;32
186;44
187;53
188;65
189;47
190;56
191;60
192;46
193;34
194;55
195;3
196;38
197;40
198;57
199;50
200;60
201;53
202;38
203;31
204;53
205;31
206;50
207;28
208;25
209;64
210;59
211;45
212;79
213;27
214;58
215;55
216;41
217;47
218;45
219;75
220;54
221;57
222;59
223;75
224;38
225;43
226;50
227;52
228;39
229;58
230;63
231;25
232;77
233;14
234;28
235;30
236;41
237;35
238;46
239;80
240;60
241;39
242;66
243;63
244;37
245;42
246;23
247;46
248;55
249;50
250;27
251;57
252;44
253;25
254;28
255;40
256;38
257;56
258;42
259;59
260;53
261;71
262;52
263;16
264;17
265;26
266;39
267;38
268;40
269;40
270;34
271;20
272;26
273;28
274;25
275;42
276;21
277;27
278;28
279;37
280;51
281;39
282;32
283;25
284;15
285;24
286;43
287;26
288;42
289;76
290;32
291;31
292;31
293;20
294;17
295;29
296;22
297;16
298;28
299;56
300;48
301;36
302;55
303;27
304;68
305;48
306;45
307;50
308;53
309;25
310;33
311;45
312;15
313;30
314;31
315;26
316;29
317;27
318;36
319;42
320;38
321;27
322;20
323;30
324;10
325;31
326;29
327;16
328;25
329;37
330;30
331;15
332;40
333;28
334;41
335;40
336;20
337;94
338;40
339;31
340;19
341;35
342;68
343;35
344;38
345;46
346;46
347;33
348;49
349;28
350;44
351;56
352;39
353;41
354;27
355;46
356;49
357;22
358;42
359;38
360;33
361;32
362;50
363;46
364;51
365;54
366;56
367;45
368;38
369;44
370;48
371;58
372;52
373;47
374;55
375;53
376;32
377;48
378;47
379;54
380;50
381;43
382;46
383;26
384;52
385;28
386;37
387;20
388;28
389;50
390;41
391;35
392;24
393;48
394;26
395;28
396;62
397;52
398;30
399;30
400;37
401;52
402;75
403;70
404;63
405;80
406;48
407;44
408;31
409;26
410;75
411;28
412;32
413;32
414;40
415;44
416;25
417;34
418;39
419;41
420;36
421;47
422;38
423;46
424;52
425;49
426;48
427;48
428;74
429;56
430;51
431;44
432;40
433;52
434;72
435;88
436;60
437;78
438;90
439;23
440;24
441;73
442;45
443;37
444;35
445;56
446;20
447;39
448;54
449;41
450;51
451;71
452;51
453;49
454;45
455;64
456;33
